Sample,Dice,IoU,Accuracy,Sensitivity,Specificity,clDice
66,0.9031148552894592,0.8233449459075928,0.9851464629173279,0.8760504126548767,0.994507372379303,0.9211419060649992
67,0.9108048677444458,0.8362182378768921,0.985400378704071,0.8815105557441711,0.9949968457221985,0.9141799938415632
68,0.917576014995575,0.8477048277854919,0.9848046898841858,0.8739656805992126,0.996680736541748,0.944991278191157
69,0.922402024269104,0.8559796810150146,0.983935534954071,0.8735703825950623,0.9974783062934875,0.946024099337633
70,0.9144896864891052,0.8424513936042786,0.9845605492591858,0.8936575055122375,0.9938132166862488,0.9309129335575165
71,0.8860387206077576,0.7953945398330688,0.9697167873382568,0.8478689193725586,0.989362895488739,0.8861543620447366
72,0.9296095967292786,0.8684771656990051,0.9861425757408142,0.9128105044364929,0.9943127036094666,0.9455772106529905
73,0.9172301292419434,0.847114622592926,0.9870898723602295,0.8970119953155518,0.9948956966400146,0.938613647687659
74,0.9035049676895142,0.8239936828613281,0.9825780987739563,0.8561763167381287,0.9958875179290771,0.9156148201640982
75,0.9174433350563049,0.8474783301353455,0.9865918159484863,0.8792209029197693,0.9965323209762573,0.9294740918781139
76,0.8639208674430847,0.7604407668113708,0.9696386456489563,0.849750280380249,0.9849756360054016,0.8992983221468639
77,0.899885892868042,0.8179932236671448,0.9837207198143005,0.860259473323822,0.9951969981193542,0.9301525152032122
78,0.911579966545105,0.8375258445739746,0.9854297041893005,0.8911935091018677,0.9941025972366333,0.9235322266342318
79,0.9211877584457397,0.8538907170295715,0.9854589700698853,0.890139102935791,0.9955195188522339,0.9352478827876985
80,0.8983725905418396,0.8154957890510559,0.9715820550918579,0.8928224444389343,0.9844762086868286,0.908345440077825
81,0.9264835119247437,0.8630361557006836,0.9861230254173279,0.8873253464698792,0.9969233870506287,0.9502644355637336
82,0.9047450423240662,0.8260588049888611,0.9816308617591858,0.8549143671989441,0.9960305094718933,0.9207722452454583
83,0.9292554259300232,0.8678591251373291,0.9836230278015137,0.8850851655006409,0.9972541928291321,0.947662384084133
84,0.8919000625610352,0.8048914074897766,0.9721093773841858,0.8664509654045105,0.9882885813713074,0.8876818381142003
85,0.8998004198074341,0.8178519606590271,0.9803906083106995,0.860551655292511,0.9940493702888489,0.912206735347589
86,0.905748724937439,0.8277337551116943,0.970507800579071,0.8894268870353699,0.9858744144439697,0.9119493063473825
